X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1748984,5935924,19674,,506300,0,,0,1,,Null,2008/2009,DAIRY FLAT HIGHWAY,COATESVILLE-RIVERHEAD HIG,,Non-Injury Crash,No,2009,,North,,0,,Flat,,,,,,Overcast,176003,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,80,,Null,0,0,,76,Auckland,Give way,,,,,0,0,Open,0,,,Fine,Null
1817376,5804582,19675,,527501,0,,0,0,,Null,2008/2009,BOWEN ST,TAYLOR ST,,Non-Injury Crash,No,2009,,South,,0,,Flat,,,,,,Overcast,961200,0,0,0,2,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,50,,Null,2,0,,17,Waipa District,Stop,,,,,0,0,Urban,0,,,Fine,Null
1814118,5803710,19676,,527133,0,0,0,0,0,East,2008/2009,SH 1N,HANLIN ROAD,,Non-Injury Crash,Yes,2009,0,West,0,0,1,Flat,0,,0,,0,Dark,960006,0,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,100,0,On,0,0,,17,Waipa District,Unknown,0,0,0,0,0,0,Open,1,0,0,Light rain,Null
1767443,5904918,19677,,524604,0,,0,2,,South,2009/2010,GREAT SOUTH ROAD,CAVENDISH DRIVE,,Non-Injury Crash,No,2009,,North,,0,,Flat,,,,,,Dark,780209,0,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,On,0,0,,76,Auckland,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null
1768279,5902198,19678,,525001,0,,0,2,,South,2009/2010,GREAT SOUTH ROAD,BROWNS ROAD,,Non-Injury Crash,No,2009,,North,,0,,Flat,,,,,,Overcast,750800,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Heavy rain,Null
1753440,5932937,19679,,508807,0,0,0,1,0,South,2009/2010,SH 1N,GREVILLE OBR,,Non-Injury Crash,Yes,2009,0,North,0,0,0,Flat,1,,0,,0,Overcast,180811,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,1-way,Sealed,0,0,0,0,100,0,Null,0,0,,76,Auckland,Unknown,0,0,0,0,0,0,Open,0,0,0,Light rain,Null
1740066,5928317,19680,,505604,0,0,0,1,0,South,2009/2010,SH 16,OLD RAILWAY ROAD,,Non-Injury Crash,Yes,2009,0,North,0,0,0,Flat,0,,0,,0,Dark,214501,0,0,0,2,0,0,0,0,0,,0,1,Auckland Region,Nil,2-way,Sealed,0,0,0,0,80,0,None,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1766261,5899906,19681,,524822,0,,0,2,,South,2008/2009,ROSCOMMON ROAD,ROBERT ROSS PLACE,,Non-Injury Crash,No,2009,,North,,0,,Flat,,,,,,Overcast,774431,0,0,0,1,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,30,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Light rain,Null
1749692,5426061,19682,,573400,1,,0,0,,East,2009/2010,SH 1N,WEST PORTAL,,Minor Crash,Yes,2009,,South,,0,,Flat,,,,,,Overcast,2143300,1,0,0,2,,,0,,,1,,,Wellington Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,47,Wellington City,Nil,,,,,0,0,Urban,0,,,Fine,Null
1722917,6044194,19683,,502004,0,,0,1,,Null,2009/2010,RIVERSIDE DRIVE,AWAROA RIVER ROAD,,Non-Injury Crash,No,2009,,East,,0,,Flat,,,,,,Bright sun,109401,0,0,0,2,,,0,,,,,,Northland Region,Nil,2-way,Sealed,,0,0,,80,,Off,1,0,,2,Whangarei District,Give way,,,,,0,0,Open,0,,,Fine,Null
1571171,5183268,19684,,592500,0,,0,1,,Null,2009/2010,WESTMINSTER ST,KENSINGTON AVENUE,,Serious Crash,No,2009,,East,,0,,Flat,,,,,,Bright sun,2680500,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,1,,50,,Null,1,0,,60,Christchurch City,Nil,,,,,0,0,Urban,0,,,Fine,Null
1755296,5921812,19685,,515202,0,,0,2,,North,2008/2009,SH 1N,SHELLY BEACH OBR,,Non-Injury Crash,Yes,2009,,North,,0,,Hill Road,,,,,,Dark,423600,0,0,0,2,,,0,,,,,,Auckland Region,Bridge,1-way,Sealed,,0,0,,80,,On,0,0,,76,Auckland,Nil,,,,,0,0,Open,2,,,Fine,Null
1744964,5913989,19686,,512906,0,0,0,2,0,South,2008/2009,GLENGARRY ROAD,WEST COAST ROAD,,Non-Injury Crash,No,2009,0,North,0,0,0,Hill Road,0,,0,,0,Dark,278410,0,0,0,2,0,0,0,0,1,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,76,Auckland,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1449247,5046822,19687,,600410,0,1,0,1,0,Null,2008/2009,SH 82,HOLLANDS BR,,Minor Crash,Yes,2009,0,South,1,0,0,Flat,0,,0,,0,Bright sun,2817200,1,0,0,2,0,0,0,0,0,,0,0,Canterbury Region,Bridge,2-way,Sealed,0,0,0,0,100,0,Null,0,0,,66,Waimate District,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1747273,5919761,19688,,512300,0,,0,1,,Null,2008/2009,TE ATATU ROAD,TE ATATU OFF EBD,,Non-Injury Crash,No,2009,,South,,0,,Flat,,,,,,Bright sun,252000,0,0,0,4,,,0,,,,,,Auckland Region,Bridge,2-way,Sealed,,0,0,,50,,Off,1,0,,76,Auckland,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null
1874326,5823856,19689,,536514,0,0,0,1,0,East,2008/2009,WESTMORLAND RISE,BETHLEHEM ROAD,,Non-Injury Crash,No,2009,0,East,0,0,1,Hill Road,0,,0,,0,Dark,1190301,0,0,0,2,0,0,0,0,0,,0,0,Bay of Plenty Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,23,Tauranga City,Nil,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1800651,5815451,19690,,529700,0,,0,2,,Null,2008/2009,BRYCE ST,ANGLESEA ST,,Non-Injury Crash,No,2009,,South,,0,,Flat,,,,,,Overcast,910900,0,0,0,4,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,16,Hamilton City,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null
1758213,5913424,19691,,518600,0,,0,2,,Null,2008/2009,MANUKAU ROAD,MOUNT ALBERT ROAD,,Non-Injury Crash,No,2009,,North,,0,,Flat,,,,,,Bright sun,567300,0,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Give way,,,,,0,0,Urban,0,,,Fine,Null
1755937,5919475,19692,,514000,0,,0,2,,Null,2009/2010,PONSONBY ROAD,HEPBURN ST,,Non-Injury Crash,No,2009,,West,,0,,Flat,,,,,,Twilight,413700,0,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,On,0,0,,76,Auckland,Traffic Signals,,,,,0,0,Urban,0,,,Light rain,Null
